                              ||              &&              <=            bool          string             num           float           while            else          record              id               [               ]              if              ==               !            proc               $               (           false               )               *               +            real               ,             int            call            char            true               {               ;               <              !=               }               =          return               >              >=               A               B               C               D              M1           Start               E              M2               F               G               H               I           Relop               L               N               P               S               T               X           Elist              PM
              24              --              --              --              --              --              --              --              --              --              --              --             s81              --              --              --              --              --              --              --              --             r38             r38             r38              --             r38              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              25              --              --              --              --             s40             s47              --              --              --              --             s39              --              --              --              --              --              --              --             s44              --              --              --              --             s41              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              43              --              46              45              --              --              --              42              --              --              --              --              --              --              --
              26              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r32             r32             r32              --             r32              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              27              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r34             r34             r34              --             r34              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              28              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r30             s37             r30              --             r30              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              29              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r37             r37             r37              --             r37              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              30              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             s32              --              --              --             s31              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              31              --              --              --              --             s29             s27              --              --              --              --             s21              --              --              --              --              --              --              --             s25              --              --              --              --             s22              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              34              --              26              28              --              --              --              24              --              --              --              --              --              --              --
              32              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             s33              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              33              --              --              --             r23              --              --             r23             r23              --             r23             r23             r23              --             r23              --              --             r23             r23              --              --              --              --              --              --              --             r23             r23             r23              --              --              --              --              --              --              --             r23              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              34              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r56              --             s35              --             r56              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              35              --              --              --              --             s29             s27              --              --              --              --             s21              --              --              --              --              --              --              --             s25              --              --              --              --             s22              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              26              36              --              --              --              24              --              --              --              --              --              --              --
              36              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r29             s37             r29              --             r29              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              37              --              --              --              --             s29             s27              --              --              --              --             s21              --              --              --              --              --              --              --             s25              --              --              --              --             s22              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              38              --              --              --              --              24              --              --              --              --              --              --              --
              38              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r31             r31             r31              --             r31              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              39              --              --              --              --              --              --              --              --              --              --              --             s78              --              --              --              --              --              --              --              --             r35             r35             r35              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              40              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r37             r37             r37              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              41              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r36             r36             r36              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              42              --              --              --              --              --              --              --              --              --              --              --             s55              --              --              --              --              --              --              --              --             r38             r38             r38              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              43              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             s54              --             s52              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              44              --              --              --              --             s40             s47              --              --              --              --             s39              --              --              --              --              --              --              --             s44              --              --              --              --             s41              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              50              --              46              45              --              --              --              42              --              --              --              --              --              --              --
              45              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r30             s48             r30              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
