                              ||              &&              <=            bool          string             num           float           while            else          record              id               [               ]              if              ==               !            proc               $               (           false               )               *               +            real               ,             int            call            char            true               {               ;               <              !=               }               =          return               >              >=               A               B               C               D              M1           Start               E              M2               F               G               H               I           Relop               L               N               P               S               T               X           Elist              PM
              67              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             s68              --             s52              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              68              --              --              --              --              --              --              --              --              --              --              --              --             r33              --              --              --              --              --              --              --              --             r33             r33              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              69              --              --              --              --              --              --              --              --              --              --              --             r27              --              --              --              --              --              --              --              --             r27             r27             r27              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              70              --              --              --              --             s56             s59              --              --              --              --             s58              --              --              --              --              --              --              --             s62              --              --              --              --             s60              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              64              71              --              --              --              57              --              --              --              --              --              --              --
              71              --              --              --              --              --              --              --              --              --              --              --              --             r29              --              --              --              --              --              --              --              --             s65             r29              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              72              --              --              --              --             s56             s59              --              --              --              --             s58              --              --              --              --              --              --              --             s62              --              --              --              --             s60              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              73              --              64              63              --              --              --              57              --              --              --              --              --              --              --
              73              --              --              --              --              --              --              --              --              --              --              --              --             s74              --              --              --              --              --              --              --              --              --             s70              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              74              --              --              --              --              --              --              --              --              --              --              --             r28             r28              --              --              --              --              --              --              --              --             r28             r28              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              75              --              --              --              --             s56             s59              --              --              --              --             s58              --              --              --              --              --              --              --             s62              --              --              --              --             s60              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              76              --              64              63              --              --              --              57              --              --              --              --              --              --              --
              76              --              --              --              --              --              --              --              --              --              --              --              --             s77              --              --              --              --              --              --              --              --              --             s70              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              77              --              --              --              --              --              --              --              --              --              --              --             r27             r27              --              --              --              --              --              --              --              --             r27             r27              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              78              --              --              --              --             s56             s59              --              --              --              --             s58              --              --              --              --              --              --              --             s62              --              --              --              --             s60              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              79              --              64              63              --              --              --              57              --              --              --              --              --              --              --
              79              --              --              --              --              --              --              --              --              --              --              --              --             s80              --              --              --              --              --              --              --              --              --             s70              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              80              --              --              --              --              --              --              --              --              --              --              --             r28              --              --              --              --              --              --              --              --             r28             r28             r28              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              81              --              --              --              --             s56             s59              --              --              --              --             s58              --              --              --              --              --              --              --             s62              --              --              --              --             s60              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              82              --              64              63              --              --              --              57              --              --              --              --              --              --              --
              82              --              --              --              --              --              --              --              --              --              --              --              --             s83              --              --              --              --              --              --              --              --              --             s70              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              83              --              --              --              --              --              --              --              --              --              --              --             r27              --              --              --              --              --              --              --              --             r27             r27             r27              --             r27              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              84              --              --              --              --             s56             s59              --              --              --              --             s58              --              --              --              --              --              --              --             s62              --              --              --              --             s60              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              85              --              64              63              --              --              --              57              --              --              --              --              --              --              --
              85              --              --              --              --              --              --              --              --              --              --              --              --             s86              --              --              --              --              --              --              --              --              --             s70              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              86              --              --              --              --              --              --              --              --              --              --              --             r28              --              --              --              --              --              --              --              --             r28             r28             r28              --             r28              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              87              --              --              --              --              --              --              --              --              --              --             r16              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              88              --              --              --              --              --              --              --              --              --              --             s92              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              89              --              --              --              --              --              --              --              --              --              --             r14              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              90              --              --              --              --              --              --              --              --              --              --             r17              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              91              --              --              --              --              --              --              --              --              --              --             r15              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              92              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              r7              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              93              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              93              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             s94              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              94              --              --              --             s87              --              --             s91              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             s89              --             s90              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              95              --              96
              95              --              --              --              --              --              --              --              --              --              --            s328              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              96              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             s97              --              --              --             s98              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              97              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --            s101              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
              98              --              --              --             s87              --              --             s91              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             s89              --             s90              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              99              --              --
              99              --              --              --              --              --              --              --              --              --              --            s100              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
             100              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r11              --              --              --             r11              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
             101              --              --              --             s17              --              --              s8            s108              --            s111            s105              --              --            s104              --              --            s113              --              --              --              --              --              --              --              --             s15            s107             s11              --              --              --              --              --              r3              --            s110              --              --              --              --              --             109              --              --              --              --              --              --              --              --              --             103              --             112             102             106              10              --              --
             102              --              --              --             s17              --              --              s8            s108              --            s111            s105              --              --            s104              --              --            s113              --              --              --              --              --              --              --              --             s15            s107             s11              --              --              --              --              --              r3              --            s110              --              --              --              --              --             109              --              --              --              --              --              --              --              --              --             103              --             327             102             106              10              --              --
             103              --              --              --              --              --              --              --              --              --              --              --            s318              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --            s324              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
             104              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --            s278              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
             105              --              --              --              --              --              --              --              --              --              --              --            s272              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --            s273              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
             106              --              --              --              --              --              --              --              --              --              --            s249              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
             107              --              --              --              --              --              --              --              --              --              --            s244              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
             108              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r48              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             151              --              --              --              --              --              --              --              --              --              --              --              --              --
             109              --              --              --             s17              --              --              s8            s108              --            s111            s105              --              --            s104              --              --            s113              --              --              --              --              --              --              --              --             s15            s107             s11              --              --              --              --              --              r3              --            s110              --              --              --              --              --             109              --              --              --              --              --              --              --              --              --             103              --             150             102             106              10              --              --
             110              --              --              --              --            s129            s136              --              --              --              --            s131              --              --              --              --              --              --              --            s130              --              --              --              --            s134              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             135              --             133             132              --              --              --             128              --              --              --              --              --              --              --
             111              --              --              --              --              --              --              --              --              --              --            s124              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
             112              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --            s123              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
             113              --              --              --             s87              --              --             s91              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             s89              --             s90              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             114              --              --
